=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.05.06 17:42:56 =~=~=~=~=~=~=~=~=~=~=~=
R1=6.210032;R2=2.288894
R1=6.153748;R2=2.307656
R1=6.116225;R2=2.345178
R1=6.134987;R2=2.307656
R1=6.153748;R2=2.307656
R1=6.172510;R2=2.288894
R1=6.134987;R2=2.326417
R1=6.134987;R2=2.288894
R1=6.116225;R2=2.307656
R1=6.134987;R2=2.288894
R1=6.153748;R2=2.326417
R1=6.153748;R2=2.307656
R1=6.210032;R2=2.307656
R1=6.116225;R2=2.288894
R1=6.134987;R2=2.288894
R1=6.134987;R2=2.326417
R1=6.172510;R2=2.307656
R1=6.210032;R2=2.307656
R1=6.153748;R2=2.270133
R1=6.191271;R2=2.251371
R1=6.134987;R2=2.270133
R1=6.191271;R2=2.270133
R1=6.116225;R2=2.326417
R1=6.153748;R2=2.232610
R1=6.153748;R2=2.307656
R1=6.134987;R2=2.307656
R1=6.134987;R2=2.326417
R1=6.191271;R2=2.326417
R1=6.172510;R2=2.288894
R1=6.134987;R2=2.326417
R1=6.134987;R2=2.307656
R1=6.134987;R2=2.307656
R1=6.134987;R2=2.307656
R1=6.134987;R2=2.288894
R1=6.116225;R2=2.288894
R1=6.153748;R2=2.288894
R1=6.191271;R2=2.288894
R1=6.191271;R2=2.345178
R1=6.191271;R2=2.307656
R1=6.228794;R2=2.307656
R1=6.191271;R2=2.307656
R1=6.191271;R2=2.270133
R1=6.172510;R2=2.326417
R1=6.116225;R2=2.345178
R1=6.172510;R2=2.288894
R1=6.134987;R2=2.288894
R1=6.116225;R2=2.288894
R1=6.172510;R2=2.326417
R1=6.097464;R2=2.326417
R1=6.134987;R2=2.307656
R1=6.134987;R2=2.307656
R1=6.210032;R2=2.288894
R1=6.153748;R2=2.307656
R1=6.210032;R2=2.307656
R1=6.172510;R2=2.251371
R1=6.191271;R2=2.307656
R1=6.153748;R2=2.345178
R1=6.172510;R2=2.270133
R1=6.153748;R2=2.363940
R1=6.134987;R2=2.288894
R1=6.210032;R2=2.307656
R1=6.210032;R2=2.307656
R1=6.134987;R2=2.307656
R1=6.153748;R2=2.307656
R1=6.172510;R2=2.307656
R1=6.172510;R2=2.307656
R1=6.153748;R2=2.326417
R1=6.172510;R2=2.326417
R1=6.172510;R2=2.326417
R1=6.153748;R2=2.326417
R1=6.153748;R2=2.288894
R1=6.134987;R2=2.345178
R1=6.172510;R2=2.307656
R1=6.172510;R2=2.307656
R1=6.191271;R2=2.307656
R1=6.191271;R2=2.326417
R1=6.134987;R2=2.307656
R1=6.153748;R2=2.363940
R1=6.153748;R2=2.345178
R1=6.153748;R2=2.288894
R1=6.134987;R2=2.345178
R1=6.153748;R2=2.288894
R1=6.153748;R2=2.326417
R1=6.228794;R2=2.345178
R1=6.191271;R2=2.270133
R1=6.134987;R2=2.288894
R1=6.134987;R2=2.345178
R1=6.191271;R2=2.345178
R1=6.172510;R2=2.270133
R1=6.172510;R2=2.307656
R1=6.172510;R2=2.326417
R1=6.153748;R2=2.307656
R1=6.153748;R2=2.288894
R1=6.191271;R2=2.326417
R1=6.191271;R2=2.307656
R1=6.172510;R2=2.251371
R1=6.172510;R2=2.345178
R1=6.191271;R2=2.326417
R1=6.172510;R2=2.307656
R1=6.172510;R2=2.288894
R1=6.172510;R2=2.288894
R1=6.191271;R2=2.326417
R1=6.153748;R2=2.307656
R1=6.153748;R2=2.326417
R1=6.210032;R2=2.307656
R1=6.134987;R2=2.270133
R1=6.191271;R2=2.382701
R1=6.134987;R2=2.307656
R1=6.210032;R2=2.270133
R1=6.134987;R2=2.307656
R1=6.153748;R2=2.307656
R1=6.078702;R2=2.345178
R1=6.153748;R2=2.288894
R1=6.172510;R2=2.288894
R1=6.210032;R2=2.307656
R1=6.172510;R2=2.251371
R1=6.172510;R2=2.270133
R1=6.191271;R2=2.288894
R1=6.153748;R2=2.288894
R1=6.153748;R2=2.326417
R1=6.191271;R2=2.288894
R1=6.172510;R2=2.270133
R1=6.153748;R2=2.345178
R1=6.153748;R2=2.326417
R1=6.097464;R2=2.270133
R1=6.153748;R2=2.288894
R1=6.210032;R2=2.307656
R1=6.172510;R2=2.307656
R1=6.172510;R2=2.326417
R1=6.116225;R2=2.326417
R1=6.134987;R2=2.307656
R1=6.210032;R2=2.307656
R1=6.191271;R2=2.307656
R1=6.153748;R2=2.270133
R1=6.134987;R2=2.326417
R1=6.116225;R2=2.307656
R1=6.116225;R2=2.326417
R1=6.191271;R2=2.345178
R1=6.210032;R2=2.307656
R1=6.172510;R2=2.326417
R1=6.191271;R2=2.307656
R1=6.210032;R2=2.307656
R1=6.172510;R2=2.288894
R1=6.153748;R2=2.307656
R1=6.153748;R2=2.288894
R1=6.210032;R2=2.326417
R1=6.134987;R2=2.288894
R1=6.172510;R2=2.363940
R1=6.153748;R2=2.288894
R1=6.153748;R2=2.251371
R1=6.172510;R2=2.307656
R1=6.134987;R2=2.326417
R1=6.172510;R2=2.270133
R1=6.210032;R2=2.288894
R1=6.210032;R2=2.288894
R1=6.191271;R2=2.307656
R1=6.172510;R2=2.288894
R1=6.116225;R2=2.307656
R1=6.116225;R2=2.307656
R1=6.210032;R2=2.288894
R1=6.210032;R2=2.345178
R1=6.134987;R2=2.382701
R1=6.153748;R2=2.288894
R1=6.172510;R2=2.270133
R1=6.191271;R2=2.326417
R1=6.116225;R2=2.270133
R1=6.172510;R2=2.307656
R1=6.172510;R2=2.251371
R1=6.172510;R2=2.307656
R1=6.172510;R2=2.307656
R1=6.172510;R2=2.307656
R1=6.172510;R2=2.288894
R1=6.172510;R2=2.288894
R1=6.134987;R2=2.307656
R1=6.210032;R2=2.270133
R1=6.191271;R2=2.363940
R1=6.097464;R2=2.307656
R1=6.116225;R2=2.307656
R1=6.116225;R2=2.307656
R1=6.153748;R2=2.307656
R1=6.116225;R2=2.288894
R1=6.134987;R2=2.326417
R1=6.172510;R2=2.307656
R1=6.191271;R2=2.288894
R1=6.191271;R2=2.288894
R1=6.172510;R2=2.326417
R1=6.134987;R2=2.288894
R1=6.172510;R2=2.288894
R1=6.134987;R2=2.307656
R1=6.153748;R2=2.307656
R1=6.210032;R2=2.270133
R1=6.172510;R2=2.326417
R1=6.210032;R2=2.307656
R1=6.191271;R2=2.288894
R1=6.191271;R2=2.326417
R1=6.191271;R2=2.288894
R1=6.191271;R2=2.307656
R1=6.153748;R2=2.270133
R1=6.210032;R2=2.307656
R1=6.191271;R2=2.288894
R1=6.153748;R2=2.326417
R1=6.210032;R2=2.288894
R1=6.153748;R2=2.326417
R1=6.172510;R2=2.288894
R1=6.172510;R2=2.270133
R1=6.172510;R2=2.307656
R1=6.172510;R2=2.288894
R1=6.172510;R2=2.307656
R1=6.134987;R2=2.288894
R1=6.172510;R2=2.326417
R1=6.153748;R2=2.307656
R1=6.191271;R2=2.326417
R1=6.191271;R2=2.307656
R1=6.172510;R2=2.288894
R1=6.097464;R2=2.307656
R1=6.134987;R2=2.326417
R1=6.172510;R2=2.288894
R1=6.210032;R2=2.270133
R1=6.172510;R2=2.270133
R1=6.134987;R2=2.288894
R1=6.172510;R2=2.288894
R1=6.172510;R2=2.270133
R1=6.153748;R2=2.288894
R1=6.097464;R2=2.307656
R1=6.172510;R2=2.232610
R1=6.116225;R2=2.345178
R1=6.172510;R2=2.288894
R1=6.191271;R2=2.307656
R1=6.191271;R2=2.307656
R1=6.153748;R2=2.307656
R1=6.172510;R2=2.307656
R1=6.191271;R2=2.326417
R1=6.191271;R2=2.307656
R1=6.172510;R2=2.307656
R1=6.172510;R2=2.326417
R1=6.097464;R2=2.288894
R1=6.172510;R2=2.270133
R1=6.172510;R2=2.251371
R1=6.191271;R2=2.326417
R1=6.172510;R2=2.382701
R1=6.116225;R2=2.326417
R1=6.191271;R2=2.345178
R1=6.172510;R2=2.326417
R1=6.210032;R2=2.326417
R1=6.172510;R2=2.232610
R1=6.191271;R2=2.363940
R1=6.134987;R2=2.363940
R1=6.191271;R2=2.307656
R1=6.097464;R2=2.288894
R1=6.153748;R2=2.326417
R1=6.172510;R2=2.326417
R1=6.191271;R2=2.363940
R1=6.153748;R2=2.326417
R1=6.191271;R2=2.363940
R1=6.153748;R2=2.232610
R1=6.172510;R2=2.326417
R1=6.153748;R2=2.270133
R1=6.191271;R2=2.307656
R1=6.116225;R2=2.288894
R1=6.134987;R2=2.363940
R1=6.134987;R2=2.307656
R1=6.153748;R2=2.288894
R1=6.153748;R2=2.288894
R1=6.172510;R2=2.307656
R1=6.134987;R2=2.326417
R1=6.153748;R2=2.307656
R1=6.191271;R2=2.307656
R1=6.191271;R2=2.326417
R1=6.078702;R2=2.288894
R1=6.153748;R2=2.288894
R1=6.210032;R2=2.251371
R1=6.172510;R2=2.326417
R1=6.153748;R2=2.307656
R1=6.228794;R2=2.307656
R1=6.134987;R2=2.326417
R1=6.172510;R2=2.288894
R1=6.116225;R2=2.326417
R1=6.191271;R2=2.288894
R1=6.172510;R2=2.307656
R1=6.191271;R2=2.288894
R1=6.153748;R2=2.288894
R1=6.172510;R2=2.326417
R1=6.134987;R2=2.307656
R1=6.172510;R2=2.288894
R1=6.172510;R2=2.288894
R1=6.191271;R2=2.307656
R1=6.172510;R2=2.288894
R1=6.116225;R2=2.326417
R1=6.153748;R2=2.345178
R1=6.134987;R2=2.270133
R1=6.153748;R2=2.326417
R1=6.134987;R2=2.307656
R1=6.172510;R2=2.288894
R1=6.153748;R2=2.288894
R1=6.134987;R2=2.345178
R1=6.134987;R2=2.288894
R1=6.191271;R2=2.345178
R1=6.210032;R2=2.270133
R1=6.172510;R2=2.307656
R1=6.134987;R2=2.307656
R1=6.134987;R2=2.307656
R1=6.134987;R2=2.345178
R1=6.172510;R2=2.288894
R1=6.210032;R2=2.326417
R1=6.172510;R2=2.307656
R1=6.134987;R2=2.345178
R1=6.210032;R2=2.270133
R1=6.134987;R2=2.326417
R1=6.210032;R2=2.307656
R1=6.134987;R2=2.345178
R1=6.172510;R2=2.270133
R1=6.134987;R2=2.326417
R1=6.191271;R2=2.270133
R1=6.172510;R2=2.326417
R1=6.172510;R2=2.345178
R1=6.191271;R2=2.326417
R1=6.153748;R2=2.307656
R1=6.191271;R2=2.288894
R1=6.210032;R2=2.326417
R1=6.116225;R2=2.326417
R1=6.134987;R2=2.307656
R1=6.191271;R2=2.270133
R1=6.191271;R2=2.307656
R1=6.172510;R2=2.288894
R1=6.153748;R2=2.288894
R1=6.153748;R2=2.251371
R1=6.134987;R2=2.270133
R1=6.210032;R2=2.326417
R1=6.153748;R2=2.307656
R1=6.153748;R2=2.251371
R1=6.134987;R2=2.345178
R1=6.191271;R2=2.307656
R1=6.172510;R2=2.307656
R1=6.134987;R2=2.363940
R1=6.153748;R2=2.288894
R1=6.191271;R2=2.288894
R1=6.153748;R2=2.382701
R1=6.134987;R2=2.288894
R1=6.210032;R2=2.307656
R1=6.116225;R2=2.382701
R1=6.191271;R2=2.270133
R1=6.172510;R2=2.288894
R1=6.153748;R2=2.307656
R1=6.172510;R2=2.345178
R1=6.191271;R2=2.307656
R1=6.191271;R2=2.345178
R1=6.172510;R2=2.307656
R1=6.191271;R2=2.326417
R1=6.134987;R2=2.345178
R1=6.153748;R2=2.307656
R1=6.191271;R2=2.307656
R1=6.116225;R2=2.288894
R1=6.210032;R2=2.345178
R1=6.134987;R2=2.288894
R1=6.210032;R2=2.270133
R1=6.134987;R2=2.363940
R1=6.153748;R2=2.270133
R1=6.191271;R2=2.270133
R1=6.172510;R2=2.307656
R1=6.153748;R2=2.307656
R1=6.134987;R2=2.363940
R1=6.134987;R2=2.307656
R1=6.134987;R2=2.345178
R1=6.134987;R2=2.326417
R1=6.134987;R2=2.307656
R1=6.134987;R2=2.345178
R1=6.134987;R2=2.270133
R1=6.153748;R2=2.326417
R1=6.116225;R2=2.326417
R1=6.172510;R2=2.345178
R1=6.134987;R2=2.307656
R1=6.172510;R2=2.326417
R1=6.116225;R2=2.288894
R1=6.134987;R2=2.326417
R1=6.097464;R2=2.363940
R1=6.191271;R2=2.326417
R1=6.172510;R2=2.307656
R1=6.172510;R2=2.326417
R1=6.134987;R2=2.326417
R1=6.153748;R2=2.326417
R1=6.153748;R2=2.288894
R1=6.172510;R2=2.326417
R1=6.116225;R2=2.326417
R1=6.191271;R2=2.307656
R1=6.210032;R2=2.307656
R1=6.134987;R2=2.326417
R1=6.210032;R2=2.307656
R1=6.247555;R2=2.288894
R1=6.134987;R2=2.307656
R1=6.191271;R2=2.307656
R1=6.191271;R2=2.326417
R1=6.078702;R2=2.307656
R1=6.191271;R2=2.307656
R1=6.191271;R2=2.307656
R1=6.153748;R2=2.326417
R1=6.134987;R2=2.326417
R1=6.134987;R2=2.307656
R1=6.191271;R2=2.270133
R1=6.191271;R2=2.270133
R1=6.191271;R2=2.326417
R1=6.153748;R2=2.307656
R1=6.153748;R2=2.288894
R1=6.172510;R2=2.326417
R1=6.191271;R2=2.307656
R1=6.134987;R2=2.251371
R1=6.191271;R2=2.307656
R1=6.172510;R2=2.326417
R1=6.191271;R2=2.382701
R1=6.172510;R2=2.270133
R1=6.172510;R2=2.288894
R1=6.172510;R2=2.307656
R1=6.153748;R2=2.326417
R1=6.153748;R2=2.270133
R1=6.153748;R2=2.363940
R1=6.210032;R2=2.326417
R1=6.172510;R2=2.345178
R1=6.210032;R2=2.307656
R1=6.191271;R2=2.326417
R1=6.134987;R2=2.288894
R1=6.191271;R2=2.307656
R1=6.191271;R2=2.307656
R1=6.172510;R2=2.288894
R1=6.116225;R2=2.270133
R1=6.210032;R2=2.288894
R1=6.153748;R2=2.288894
R1=6.210032;R2=2.251371
R1=6.116225;R2=2.363940
R1=6.191271;R2=2.288894
R1=6.134987;R2=2.307656
R1=6.210032;R2=2.307656
R1=6.134987;R2=2.307656
R1=6.134987;R2=2.307656
R1=6.191271;R2=2.401463
R1=6.172510;R2=2.326417
R1=6.153748;R2=2.345178
R1=6.153748;R2=2.307656
R1=6.134987;R2=2.307656
R1=6.116225;R2=2.288894
R1=6.172510;R2=2.288894
R1=6.172510;R2=2.251371
R1=6.134987;R2=2.326417
R1=6.172510;R2=2.326417
R1=6.172510;R2=2.307656
R1=6.134987;R2=2.288894
R1=6.172510;R2=2.307656
R1=6.116225;R2=2.326417
R1=6.191271;R2=2.307656
R1=6.172510;R2=2.326417
R1=6.172510;R2=2.288894
R1=6.116225;R2=2.326417
R1=6.134987;R2=2.270133
R1=6.134987;R2=2.307656
R1=6.172510;R2=2.326417
R1=6.172510;R2=2.307656
R1=6.097464;R2=2.288894
R1=6.134987;R2=2.307656
R1=6.172510;R2=2.326417
R1=6.210032;R2=2.270133
R1=6.153748;R2=2.288894
R1=6.191271;R2=2.288894
R1=6.210032;R2=2.288894
R1=6.210032;R2=2.288894
R1=6.153748;R2=2.307656
R1=6.153748;R2=2.270133
R1=6.097464;R2=2.326417
R1=6.191271;R2=2.326417
R1=6.116225;R2=2.307656
R1=6.153748;R2=2.307656
R1=6.228794;R2=2.307656
R1=6.134987;R2=2.326417
R1=6.172510;R2=2.307656
R1=6.134987;R2=2.288894
R1=6.172510;R2=2.307656
R1=6.134987;R2=2.288894
R1=6.134987;R2=2.326417
R1=6.191271;R2=2.307656
R1=6.191271;R2=2.326417
R1=6.172510;R2=2.326417
R1=6.116225;R2=2.288894
R1=6.153748;R2=2.288894
R1=6.078702;R2=2.326417
R1=6.191271;R2=2.251371
R1=6.153748;R2=2.307656
R1=6.153748;R2=2.307656
R1=6.153748;R2=2.307656
R1=6.172510;R2=2.270133
R1=6.191271;R2=2.345178
R1=6.153748;R2=2.288894
R1=6.153748;R2=2.307656
R1=6.116225;R2=2.326417
R1=6.172510;R2=2.270133
R1=6.153748;R2=2.326417
R1=6.153748;R2=2.288894
R1=6.153748;R2=2.326417
R1=6.134987;R2=2.326417
R1=6.172510;R2=2.345178
R1=6.134987;R2=2.232610
R1=6.191271;R2=2.326417
R1=6.191271;R2=2.288894
R1=6.153748;R2=2.288894
R1=6.210032;R2=2.288894
R1=6.210032;R2=2.288894
R1=6.116225;R2=2.288894
R1=6.172510;R2=2.288894
R1=6.172510;R2=2.326417
R1=6.172510;R2=2.288894
R1=6.134987;R2=2.326417
R1=6.153748;R2=2.345178
R1=6.134987;R2=2.345178
R1=6.134987;R2=2.345178
R1=6.116225;R2=2.345178
R1=6.116225;R2=2.270133
R1=6.153748;R2=2.270133
R1=6.153748;R2=2.307656
R1=6.153748;R2=2.307656
R1=6.116225;R2=2.270133
R1=6.210032;R2=2.307656
